dst,org,date,lei,lei50mi
35,36,2022-05-01,2516.0,2516.0
35,37,2022-05-01,3938.0,3938.0
35,38,2022-05-01,183.0,183.0
35,39,2022-05-01,3719.0,3719.0
35,40,2022-05-01,7943.0,7884.0
35,41,2022-05-01,3365.0,3365.0
35,42,2022-05-01,988.0,988.0
35,44,2022-05-01,188.0,188.0
35,45,2022-05-01,442.0,442.0
35,46,2022-05-01,207.0,207.0
35,47,2022-05-01,3764.0,3764.0
35,48,2022-05-01,1169615.0,436620.0
35,49,2022-05-01,28799.0,28623.0
35,50,2022-05-01,62.0,62.0
35,51,2022-05-01,3400.0,3400.0
35,53,2022-05-01,6905.0,6905.0
35,54,2022-05-01,37.0,37.0
35,55,2022-05-01,15112.0,15112.0
35,56,2022-05-01,508.0,508.0
35,1,2022-06-01,665.0,665.0
35,2,2022-06-01,0.0,0.0
35,4,2022-06-01,197492.0,121545.0
35,5,2022-06-01,1316.0,1316.0
35,6,2022-06-01,33365.0,33365.0
35,8,2022-06-01,143249.0,81657.0
35,9,2022-06-01,355.0,355.0
35,10,2022-06-01,73.0,73.0
35,11,2022-06-01,90.0,90.0
35,12,2022-06-01,9248.0,9248.0
35,13,2022-06-01,6619.0,6619.0
35,15,2022-06-01,0.0,0.0
35,16,2022-06-01,955.0,955.0
35,17,2022-06-01,16058.0,16058.0
35,18,2022-06-01,2590.0,2590.0
35,19,2022-06-01,4042.0,4042.0
35,20,2022-06-01,2726.0,2726.0
35,21,2022-06-01,852.0,852.0
35,22,2022-06-01,2542.0,2542.0
35,23,2022-06-01,304.0,304.0
35,24,2022-06-01,801.0,801.0
35,25,2022-06-01,807.0,807.0
35,26,2022-06-01,934.0,934.0
35,27,2022-06-01,2469.0,2469.0
35,28,2022-06-01,1985.0,1985.0
35,29,2022-06-01,2348.0,2348.0
35,30,2022-06-01,225.0,225.0
35,31,2022-06-01,845.0,845.0
35,32,2022-06-01,17359.0,17359.0
35,33,2022-06-01,140.0,140.0
35,34,2022-06-01,1739.0,1739.0
35,35,2022-06-01,2847014.0,1166611.0
35,36,2022-06-01,3043.0,3043.0
35,37,2022-06-01,572.0,572.0
35,38,2022-06-01,107.0,107.0
35,39,2022-06-01,8557.0,8557.0
35,40,2022-06-01,6299.0,6145.0
35,41,2022-06-01,1703.0,1703.0
35,42,2022-06-01,1281.0,1281.0
35,44,2022-06-01,708.0,708.0
35,45,2022-06-01,387.0,387.0
35,46,2022-06-01,145.0,145.0
35,47,2022-06-01,2009.0,2009.0
35,48,2022-06-01,1054129.0,317425.0
35,49,2022-06-01,19381.0,19245.0
35,50,2022-06-01,0.0,0.0
35,51,2022-06-01,2418.0,2418.0
35,53,2022-06-01,2508.0,2508.0
35,54,2022-06-01,72.0,72.0
35,55,2022-06-01,4977.0,4977.0
35,56,2022-06-01,737.0,737.0
35,1,2022-07-01,668.0,668.0
35,2,2022-07-01,0.0,0.0
35,4,2022-07-01,263377.0,143531.0
35,5,2022-07-01,1464.0,1464.0
35,6,2022-07-01,62737.0,62737.0
35,8,2022-07-01,206368.0,111689.0
35,9,2022-07-01,357.0,357.0
35,10,2022-07-01,0.0,0.0
35,11,2022-07-01,235.0,235.0
35,12,2022-07-01,7270.0,7270.0
35,13,2022-07-01,2422.0,2422.0
35,15,2022-07-01,0.0,0.0
35,16,2022-07-01,1532.0,1532.0
35,17,2022-07-01,15988.0,15988.0
35,18,2022-07-01,2462.0,2462.0
35,19,2022-07-01,490.0,490.0
35,20,2022-07-01,2351.0,2351.0
35,21,2022-07-01,1289.0,1289.0
35,22,2022-07-01,1628.0,1628.0
35,23,2022-07-01,119.0,119.0
35,24,2022-07-01,1947.0,1947.0
35,25,2022-07-01,2059.0,2059.0
35,26,2022-07-01,785.0,785.0
35,27,2022-07-01,882.0,882.0
35,28,2022-07-01,842.0,842.0
35,29,2022-07-01,2376.0,2376.0
35,30,2022-07-01,1266.0,1266.0
35,31,2022-07-01,1125.0,1125.0
35,32,2022-07-01,25573.0,25573.0
35,33,2022-07-01,490.0,490.0
35,34,2022-07-01,1701.0,1701.0
35,35,2022-07-01,3593922.0,1451005.0
35,36,2022-07-01,3529.0,3529.0
35,37,2022-07-01,955.0,955.0
35,38,2022-07-01,65.0,65.0
35,39,2022-07-01,836.0,836.0
35,40,2022-07-01,5841.0,5592.0
35,41,2022-07-01,8001.0,8001.0
35,42,2022-07-01,2309.0,2309.0
35,44,2022-07-01,293.0,293.0
35,45,2022-07-01,501.0,501.0
35,46,2022-07-01,172.0,172.0
35,47,2022-07-01,1980.0,1980.0
35,48,2022-07-01,1315558.0,383689.0
35,49,2022-07-01,16690.0,15484.0
35,50,2022-07-01,45.0,45.0
35,51,2022-07-01,1882.0,1882.0
35,53,2022-07-01,6751.0,6751.0
35,54,2022-07-01,32.0,32.0
35,55,2022-07-01,1335.0,1335.0
35,56,2022-07-01,2500.0,2500.0
35,1,2022-08-01,3536.0,3536.0
35,2,2022-08-01,0.0,0.0
35,4,2022-08-01,369301.0,214806.0
35,5,2022-08-01,3250.0,3250.0
35,6,2022-08-01,107157.0,107157.0
35,8,2022-08-01,269048.0,174690.0
35,9,2022-08-01,1990.0,1990.0
35,10,2022-08-01,87.0,87.0
35,11,2022-08-01,1080.0,1080.0
35,12,2022-08-01,9591.0,9591.0
35,13,2022-08-01,5522.0,5522.0
35,15,2022-08-01,523.0,523.0
35,16,2022-08-01,4485.0,4485.0
35,17,2022-08-01,8612.0,8612.0
35,18,2022-08-01,2495.0,2495.0
35,19,2022-08-01,1248.0,1248.0
35,20,2022-08-01,4826.0,4826.0
35,21,2022-08-01,2965.0,2965.0
35,22,2022-08-01,3567.0,3567.0
35,23,2022-08-01,249.0,249.0
35,24,2022-08-01,2450.0,2450.0
35,25,2022-08-01,3853.0,3853.0
35,26,2022-08-01,2418.0,2418.0
35,27,2022-08-01,1805.0,1805.0
35,28,2022-08-01,4737.0,4737.0
35,29,2022-08-01,13442.0,13442.0
35,30,2022-08-01,763.0,763.0
35,31,2022-08-01,2091.0,2091.0
35,32,2022-08-01,62180.0,62180.0
35,33,2022-08-01,1522.0,1522.0
35,34,2022-08-01,4427.0,4427.0
35,35,2022-08-01,4738923.0,2150845.0
35,36,2022-08-01,8923.0,8923.0
35,37,2022-08-01,2514.0,2514.0
35,38,2022-08-01,342.0,342.0
35,39,2022-08-01,3120.0,3120.0
35,40,2022-08-01,15951.0,15831.0
35,41,2022-08-01,5166.0,5166.0
35,42,2022-08-01,3186.0,3186.0
35,44,2022-08-01,972.0,972.0
35,45,2022-08-01,1232.0,1232.0
35,46,2022-08-01,520.0,520.0
35,47,2022-08-01,8757.0,8757.0
35,48,2022-08-01,1818801.0,640097.0
35,49,2022-08-01,34486.0,33863.0
35,50,2022-08-01,173.0,173.0
35,51,2022-08-01,3948.0,3948.0
35,53,2022-08-01,11671.0,11671.0
35,54,2022-08-01,164.0,164.0
35,55,2022-08-01,1626.0,1626.0
35,56,2022-08-01,1143.0,1143.0
35,1,2022-09-01,2647.0,2647.0
35,2,2022-09-01,366.0,366.0
35,4,2022-09-01,339409.0,224946.0
35,5,2022-09-01,2314.0,2314.0
35,6,2022-09-01,66498.0,66498.0
35,8,2022-09-01,225656.0,149965.0
35,9,2022-09-01,966.0,966.0
35,10,2022-09-01,177.0,177.0
35,11,2022-09-01,371.0,371.0
35,12,2022-09-01,6996.0,6996.0
35,13,2022-09-01,9209.0,9209.0
35,15,2022-09-01,396.0,396.0
35,16,2022-09-01,2017.0,2017.0
35,17,2022-09-01,6077.0,6077.0
35,18,2022-09-01,2754.0,2754.0
35,19,2022-09-01,1094.0,1094.0
35,20,2022-09-01,4679.0,4679.0
35,21,2022-09-01,3292.0,3292.0
35,22,2022-09-01,5226.0,5226.0
35,23,2022-09-01,412.0,412.0
35,24,2022-09-01,2881.0,2881.0
35,25,2022-09-01,2864.0,2864.0
35,26,2022-09-01,1362.0,1362.0
35,27,2022-09-01,2723.0,2723.0
35,28,2022-09-01,2615.0,2615.0
35,29,2022-09-01,13997.0,13997.0
35,30,2022-09-01,781.0,781.0
35,31,2022-09-01,1478.0,1478.0
35,32,2022-09-01,35027.0,35027.0
35,33,2022-09-01,461.0,461.0
35,34,2022-09-01,2214.0,2214.0
35,35,2022-09-01,4335088.0,2243572.0
35,36,2022-09-01,4960.0,4960.0
35,37,2022-09-01,1456.0,1456.0
35,38,2022-09-01,343.0,343.0
35,39,2022-09-01,2267.0,2267.0
35,40,2022-09-01,14916.0,14211.0
35,41,2022-09-01,5767.0,5767.0
35,42,2022-09-01,3257.0,3257.0
35,44,2022-09-01,123.0,123.0
35,45,2022-09-01,594.0,594.0
35,46,2022-09-01,290.0,290.0
35,47,2022-09-01,5849.0,5849.0
35,48,2022-09-01,1461536.0,540533.0
35,49,2022-09-01,18573.0,18096.0
35,50,2022-09-01,221.0,221.0
35,51,2022-09-01,3003.0,3003.0
35,53,2022-09-01,9710.0,9710.0
35,54,2022-09-01,149.0,149.0
35,55,2022-09-01,1278.0,1278.0
35,56,2022-09-01,1164.0,1164.0
35,1,2022-10-01,6284.0,6284.0
35,2,2022-10-01,0.0,0.0
35,4,2022-10-01,507110.0,383540.0
35,5,2022-10-01,5589.0,5589.0
35,6,2022-10-01,136184.0,136184.0
35,8,2022-10-01,355184.0,248662.0
35,9,2022-10-01,1313.0,1313.0
35,10,2022-10-01,527.0,527.0
35,11,2022-10-01,831.0,831.0
35,12,2022-10-01,13923.0,13923.0
35,13,2022-10-01,11462.0,11462.0
35,15,2022-10-01,184.0,184.0
35,16,2022-10-01,3046.0,3046.0
35,17,2022-10-01,27760.0,27760.0
35,18,2022-10-01,10298.0,10298.0
35,19,2022-10-01,2076.0,2076.0
35,20,2022-10-01,13043.0,13043.0
35,21,2022-10-01,6666.0,6666.0
35,22,2022-10-01,6597.0,6597.0
35,23,2022-10-01,272.0,272.0
35,24,2022-10-01,4220.0,4220.0
35,25,2022-10-01,4295.0,4295.0
35,26,2022-10-01,3676.0,3676.0
