dst,org,date,lei,lei50mi
6,9,2022-01-01,2048.0,2048.0
6,10,2022-01-01,324.0,324.0
6,11,2022-01-01,729.0,729.0
6,12,2022-01-01,27860.0,27860.0
6,13,2022-01-01,9675.0,9675.0
6,15,2022-01-01,14836.0,14836.0
6,16,2022-01-01,9432.0,9432.0
6,17,2022-01-01,18201.0,18201.0
6,18,2022-01-01,7047.0,7047.0
6,19,2022-01-01,4563.0,4563.0
6,20,2022-01-01,3574.0,3574.0
6,21,2022-01-01,2757.0,2757.0
6,22,2022-01-01,3430.0,3430.0
6,23,2022-01-01,508.0,508.0
6,24,2022-01-01,4024.0,4024.0
6,25,2022-01-01,3489.0,3489.0
6,26,2022-01-01,6746.0,6746.0
6,27,2022-01-01,9068.0,9068.0
6,28,2022-01-01,1960.0,1960.0
6,29,2022-01-01,9024.0,9024.0
6,30,2022-01-01,1996.0,1996.0
6,31,2022-01-01,2876.0,2876.0
6,32,2022-01-01,175012.0,161321.0
6,33,2022-01-01,588.0,588.0
6,34,2022-01-01,7874.0,7874.0
6,35,2022-01-01,7010.0,7010.0
6,36,2022-01-01,11983.0,11983.0
6,37,2022-01-01,6830.0,6830.0
6,38,2022-01-01,452.0,452.0
6,39,2022-01-01,7134.0,7134.0
6,40,2022-01-01,6057.0,6057.0
6,41,2022-01-01,31718.0,31128.0
6,42,2022-01-01,6512.0,6512.0
6,44,2022-01-01,348.0,348.0
6,45,2022-01-01,1776.0,1776.0
6,46,2022-01-01,853.0,853.0
6,47,2022-01-01,6529.0,6529.0
6,48,2022-01-01,57468.0,57468.0
6,49,2022-01-01,29358.0,29358.0
6,50,2022-01-01,237.0,237.0
6,51,2022-01-01,5855.0,5855.0
6,53,2022-01-01,36265.0,36265.0
6,54,2022-01-01,256.0,256.0
6,55,2022-01-01,5637.0,5637.0
6,56,2022-01-01,1564.0,1564.0
8,1,2022-01-01,4691.0,4691.0
8,2,2022-01-01,166.0,166.0
8,4,2022-01-01,11773.0,11773.0
8,5,2022-01-01,3634.0,3634.0
8,6,2022-01-01,19983.0,19983.0
8,8,2022-01-01,1457736.0,194400.0
8,9,2022-01-01,536.0,536.0
8,10,2022-01-01,166.0,166.0
8,11,2022-01-01,190.0,190.0
8,12,2022-01-01,31037.0,31037.0
8,13,2022-01-01,7250.0,7250.0
8,15,2022-01-01,959.0,959.0
8,16,2022-01-01,2217.0,2217.0
8,17,2022-01-01,10817.0,10817.0
8,18,2022-01-01,5031.0,5031.0
8,19,2022-01-01,5589.0,5589.0
8,20,2022-01-01,17568.0,17430.0
8,21,2022-01-01,1878.0,1878.0
8,22,2022-01-01,5185.0,5185.0
8,23,2022-01-01,124.0,124.0
8,24,2022-01-01,2281.0,2281.0
8,25,2022-01-01,881.0,881.0
8,26,2022-01-01,3103.0,3103.0
8,27,2022-01-01,4214.0,4214.0
8,28,2022-01-01,2462.0,2462.0
8,29,2022-01-01,11960.0,11960.0
8,30,2022-01-01,2470.0,2470.0
8,31,2022-01-01,17289.0,16825.0
8,32,2022-01-01,11143.0,11143.0
8,33,2022-01-01,241.0,241.0
8,34,2022-01-01,2167.0,2167.0
8,35,2022-01-01,11030.0,9817.0
8,36,2022-01-01,3413.0,3413.0
8,37,2022-01-01,4284.0,4284.0
8,38,2022-01-01,1262.0,1262.0
8,39,2022-01-01,4595.0,4595.0
8,40,2022-01-01,10319.0,10295.0
8,41,2022-01-01,2257.0,2257.0
8,42,2022-01-01,3423.0,3423.0
8,44,2022-01-01,60.0,60.0
8,45,2022-01-01,2308.0,2308.0
8,46,2022-01-01,2567.0,2567.0
8,47,2022-01-01,5213.0,5213.0
8,48,2022-01-01,60095.0,60058.0
8,49,2022-01-01,9032.0,9016.0
8,50,2022-01-01,144.0,144.0
8,51,2022-01-01,3844.0,3844.0
8,53,2022-01-01,2573.0,2573.0
8,54,2022-01-01,112.0,112.0
8,55,2022-01-01,3151.0,3151.0
8,56,2022-01-01,15891.0,8645.0
9,1,2022-01-01,220.0,220.0
9,2,2022-01-01,0.0,0.0
9,4,2022-01-01,236.0,236.0
9,5,2022-01-01,72.0,72.0
9,6,2022-01-01,544.0,544.0
9,8,2022-01-01,272.0,272.0
9,9,2022-01-01,230353.0,14130.0
9,10,2022-01-01,392.0,392.0
9,11,2022-01-01,132.0,132.0
9,12,2022-01-01,6209.0,6209.0
9,13,2022-01-01,556.0,556.0
9,15,2022-01-01,56.0,56.0
9,16,2022-01-01,16.0,16.0
9,17,2022-01-01,296.0,296.0
9,18,2022-01-01,292.0,292.0
9,19,2022-01-01,32.0,32.0
9,20,2022-01-01,28.0,28.0
9,21,2022-01-01,100.0,100.0
9,22,2022-01-01,136.0,136.0
9,23,2022-01-01,1614.0,1614.0
9,24,2022-01-01,1096.0,1096.0
9,25,2022-01-01,39943.0,11629.0
9,26,2022-01-01,221.0,221.0
9,27,2022-01-01,152.0,152.0
9,28,2022-01-01,132.0,132.0
9,29,2022-01-01,191.0,191.0
9,30,2022-01-01,12.0,12.0
9,31,2022-01-01,96.0,96.0
9,32,2022-01-01,240.0,240.0
9,33,2022-01-01,3030.0,2496.0
9,34,2022-01-01,8670.0,7642.0
9,35,2022-01-01,64.0,64.0
9,36,2022-01-01,59173.0,13835.0
9,37,2022-01-01,1038.0,1038.0
9,38,2022-01-01,0.0,0.0
9,39,2022-01-01,476.0,476.0
9,40,2022-01-01,52.0,52.0
9,41,2022-01-01,48.0,48.0
9,42,2022-01-01,3502.0,3502.0
9,44,2022-01-01,12026.0,3706.0
9,45,2022-01-01,613.0,613.0
9,46,2022-01-01,84.0,84.0
9,47,2022-01-01,316.0,316.0
9,48,2022-01-01,940.0,940.0
9,49,2022-01-01,200.0,200.0
9,50,2022-01-01,2975.0,1597.0
9,51,2022-01-01,1360.0,1360.0
9,53,2022-01-01,288.0,288.0
9,54,2022-01-01,56.0,56.0
9,55,2022-01-01,116.0,116.0
9,56,2022-01-01,20.0,20.0
10,1,2022-01-01,60.0,60.0
10,2,2022-01-01,0.0,0.0
10,4,2022-01-01,96.0,96.0
10,5,2022-01-01,24.0,24.0
10,6,2022-01-01,296.0,296.0
10,8,2022-01-01,152.0,152.0
10,9,2022-01-01,397.0,397.0
10,10,2022-01-01,79417.0,96.0
10,11,2022-01-01,358.0,358.0
10,12,2022-01-01,3023.0,3023.0
10,13,2022-01-01,568.0,568.0
10,15,2022-01-01,28.0,28.0
10,16,2022-01-01,0.0,0.0
10,17,2022-01-01,220.0,220.0
10,18,2022-01-01,116.0,116.0
10,19,2022-01-01,8.0,8.0
10,20,2022-01-01,32.0,32.0
10,21,2022-01-01,116.0,116.0
10,22,2022-01-01,100.0,100.0
10,23,2022-01-01,88.0,88.0
10,24,2022-01-01,47685.0,10727.0
10,25,2022-01-01,480.0,480.0
10,26,2022-01-01,92.0,92.0
10,27,2022-01-01,60.0,60.0
10,28,2022-01-01,64.0,64.0
10,29,2022-01-01,104.0,104.0
10,30,2022-01-01,0.0,0.0
10,31,2022-01-01,16.0,16.0
10,32,2022-01-01,140.0,140.0
10,33,2022-01-01,76.0,76.0
10,34,2022-01-01,13528.0,4894.0
10,35,2022-01-01,12.0,12.0
10,36,2022-01-01,2952.0,2928.0
10,37,2022-01-01,912.0,908.0
10,38,2022-01-01,0.0,0.0
10,39,2022-01-01,344.0,344.0
10,40,2022-01-01,32.0,32.0
10,41,2022-01-01,0.0,0.0
10,42,2022-01-01,33763.0,4423.0
10,44,2022-01-01,32.0,32.0
10,45,2022-01-01,404.0,404.0
10,46,2022-01-01,0.0,0.0
10,47,2022-01-01,272.0,272.0
10,48,2022-01-01,252.0,252.0
10,49,2022-01-01,92.0,92.0
10,50,2022-01-01,260.0,260.0
10,51,2022-01-01,4426.0,3873.0
10,53,2022-01-01,44.0,44.0
10,54,2022-01-01,128.0,128.0
10,55,2022-01-01,32.0,32.0
10,56,2022-01-01,0.0,0.0
11,1,2022-01-01,500.0,500.0
11,2,2022-01-01,0.0,0.0
11,4,2022-01-01,100.0,100.0
11,5,2022-01-01,88.0,88.0
11,6,2022-01-01,800.0,800.0
11,8,2022-01-01,320.0,320.0
11,9,2022-01-01,208.0,208.0
11,10,2022-01-01,516.0,516.0
11,11,2022-01-01,0.0,0.0
11,12,2022-01-01,4398.0,4398.0
11,13,2022-01-01,1017.0,1017.0
11,15,2022-01-01,0.0,0.0
11,16,2022-01-01,60.0,60.0
11,17,2022-01-01,576.0,576.0
11,18,2022-01-01,384.0,384.0
11,19,2022-01-01,68.0,68.0
11,20,2022-01-01,497.0,497.0
11,21,2022-01-01,274.0,274.0
11,22,2022-01-01,1406.0,1406.0
11,23,2022-01-01,48.0,48.0
11,24,2022-01-01,178079.0,1233.0
11,25,2022-01-01,496.0,496.0
11,26,2022-01-01,474.0,474.0
11,27,2022-01-01,116.0,116.0
11,28,2022-01-01,140.0,140.0
11,29,2022-01-01,918.0,918.0
11,30,2022-01-01,12.0,12.0
11,31,2022-01-01,216.0,216.0
11,32,2022-01-01,242.0,242.0
11,33,2022-01-01,116.0,116.0
11,34,2022-01-01,2100.0,2100.0
11,35,2022-01-01,64.0,64.0
11,36,2022-01-01,2571.0,2571.0
11,37,2022-01-01,1895.0,1895.0
11,38,2022-01-01,106.0,106.0
11,39,2022-01-01,802.0,802.0
11,40,2022-01-01,136.0,136.0
11,41,2022-01-01,32.0,32.0
