dst,org,distkm,border
10,42,293.887228,1
10,44,441.354274,0
10,45,746.276146,0
10,46,2139.278538,0
10,47,1024.624621,0
10,48,2317.703592,0
10,49,3109.860068,0
10,50,609.66955,0
10,51,326.258943,0
10,53,3730.123124,0
10,54,450.827605,0
10,55,1337.260596,0
10,56,2720.27114,0
11,1,1119.649309,0
11,2,5541.130749,0
11,4,3123.238127,0
11,5,1442.953354,0
11,6,3703.43445,0
11,8,2463.075072,0
11,9,469.329899,0
11,10,136.008845,0
11,11,0.0,0
11,12,1269.090537,0
11,13,904.834973,0
11,15,7805.556452,0
11,16,3162.321191,0
11,17,1051.174618,0
11,18,805.816807,0
11,19,1438.287768,0
11,20,1854.670149,0
11,21,741.034314,0
11,22,1613.024473,0
11,23,955.682607,0
11,24,29.603693,1
11,25,590.863468,0
11,26,973.416752,0
11,27,1627.323192,0
11,28,1331.97605,0
11,29,1344.378085,0
11,30,2786.476568,0
11,31,1954.995352,0
11,32,3398.51325,0
11,33,698.477896,0
11,34,242.632408,0
11,35,2637.214487,0
11,36,461.357862,0
11,37,417.766065,0
11,38,2118.339119,0
11,39,516.803018,0
11,40,1849.50166,0
11,41,3643.930832,0
11,42,232.370469,0
11,44,554.329058,0
11,45,655.672697,0
11,46,2020.255791,0
11,47,892.504687,0
11,48,2183.983053,0
11,49,2979.287905,0
11,50,678.688484,0
11,51,211.710655,1
11,53,3616.91612,0
11,54,314.821358,0
11,55,1229.962597,0
11,56,2596.01227,0
12,1,636.065058,1
12,2,6244.068184,0
12,4,2839.781509,0
12,5,1184.772,0
12,6,3577.043902,0
12,8,2427.918058,0
12,9,1707.652496,0
12,10,1341.810489,0
12,11,1269.090537,0
12,12,0.0,0
12,13,475.614399,1
12,15,7553.045073,0
12,16,3348.564074,0
12,17,1432.750264,0
12,18,1321.414354,0
12,19,1812.801411,0
12,20,1847.396505,0
12,21,1044.834077,0
12,22,941.486766,0
12,23,2206.619901,0
12,24,1285.95393,0
12,25,1820.498338,0
12,26,1843.552578,0
12,27,2234.890811,0
12,28,834.780353,0
12,29,1438.631741,0
12,30,3133.076037,0
12,31,2140.427671,0
12,32,3357.995015,0
12,33,1954.447447,0
12,34,1482.670423,0
12,35,2335.804656,0
12,36,1724.660162,0
12,37,851.761191,0
12,38,2624.043523,0
12,39,1330.776608,0
12,40,1622.468301,0
12,41,3792.17574,0
